Model,Ensembl_transcript_id,Ensembl_gene_id,Gene_biotype,External_gene_id,Description,Model posterior probability,log(FC),Second model,Second posterior probability,
HSC,ENST00000514077,ENSG00000250769,processed_pseudogene,RP11-241F15.3-001,,0.779572699,1.77702,ZERO,0.119589522,
HSC,ENST00000267731,ENSG00000215252,protein_coding,GOLGA8B-201,"golgin A8 family, member B [Source:HGNC Symbol;Acc:31973]",0.749830371,1.31615,ZERO,0.119475364,
HSC,ENST00000569353,ENSG00000261131,sense_intronic,RP11-93O14.2-001,,0.782053593,1.60251,ZERO,0.127392596,
HSC,ENST00000464456,ENSG00000085276,protein_coding,MECOM-020,MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:3498],0.73241362,3.19873,ZERO,0.12080352,
HSC,ENST00000542196,ENSG00000257019,protein_coding,OR13C2-001,"olfactory receptor, family 13, subfamily C, member 2 [Source:HGNC Symbol;Acc:14701]",0.746034706,2.38724,ZERO,0.123234882,
HSC,ENST00000440162,ENSG00000225172,lincRNA,RP11-16L9.2-002,,0.769105998,1.50297,ZERO,0.130980494,
HSC,ENST00000558507,ENSG00000104093,retained_intron,DMXL2-002,Dmx-like 2 [Source:HGNC Symbol;Acc:2938],0.70257109,3.05048,ZERO,0.127566244,
HSC,ENST00000441846,ENSG00000101333,protein_coding,PLCB4-002,"phospholipase C, beta 4 [Source:HGNC Symbol;Acc:9059]",0.734190426,2.28514,ZERO,0.138291986,
HSC,ENST00000496318,ENSG00000196735,protein_coding,HLA-DQA1-007,"major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:4942]",0.738744199,1.04986,ZERO,0.143039618,
HSC,ENST00000439562,ENSG00000227230,antisense,RP11-261C10.5-001,,0.686524657,1.75302,ZERO,0.153426188,
HSC,ENST00000524501,ENSG00000077616,retained_intron,NAALAD2-003,N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:14526],0.701524156,1.68715,ZERO,0.159130349,
HSC,ENST00000524131,ENSG00000214548,lincRNA,MEG3-021,maternally expressed 3 (non-protein coding) [Source:HGNC Symbol;Acc:14575],0.681965152,2.37394,ZERO,0.162888469,
HSC,ENST00000497374,ENSG00000196542,retained_intron,SPTSSB-002,"serine palmitoyltransferase, small subunit B [Source:HGNC Symbol;Acc:24045]",0.680838305,1.99911,ZERO,0.166067237,
HSC,ENST00000600412,ENSG00000197497,protein_coding,ZNF665-002,zinc finger protein 665 [Source:HGNC Symbol;Acc:25885],0.651007162,2.82452,ZERO,0.160372761,
HSC,ENST00000392760,ENSG00000213182,unprocessed_pseudogene,OR10D5P-001,"olfactory receptor, family 10, subfamily D, member 5 pseudogene [Source:HGNC Symbol;Acc:14838]",0.665156087,1.32035,ZERO,0.166104231,
HSC,ENST00000426055,ENSG00000003436,protein_coding,TFPI-002,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760],0.73260789,1.01727,ZERO,0.191555262,
HSC,ENST00000422100,ENSG00000226292,processed_pseudogene,RP11-7G12.1-001,,0.641098889,2.96853,ZERO,0.170515227,
HSC,ENST00000446618,ENSG00000233471,processed_pseudogene,AC000094.3-001,,0.658074155,2.0289,ZERO,0.175789972,
HSC,ENST00000366304,ENSG00000203489,processed_pseudogene,HMGB1P39-001,high mobility group box 1 pseudogene 39 [Source:HGNC Symbol;Acc:39186],0.643861519,3.19878,ZERO,0.172387103,
HSC,ENST00000381255,ENSG00000171476,protein_coding,HOPX-017,HOP homeobox [Source:HGNC Symbol;Acc:24961],0.549668151,2.09437,ZERO,0.150297537,
HSC,ENST00000392859,ENSG00000095139,protein_coding,ARCN1-004,archain 1 [Source:HGNC Symbol;Acc:649],0.598047248,2.06549,ZERO,0.170674976,
HSC,ENST00000300006,ENSG00000166780,protein_coding,C16orf45-001,chromosome 16 open reading frame 45 [Source:HGNC Symbol;Acc:19213],0.613365492,2.00369,ZERO,0.176408429,
HSC,ENST00000542560,ENSG00000241749,TEC,RPSAP52-003,ribosomal protein SA pseudogene 52 [Source:HGNC Symbol;Acc:35752],0.644071244,2.46194,ZERO,0.186450876,
HSC,ENST00000518109,ENSG00000136960,processed_transcript,ENPP2-009,ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:3357],0.615419442,1.72099,ZERO,0.190351854,
HSC,ENST00000420747,ENSG00000003436,protein_coding,TFPI-003,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760],0.647244338,1.37161,ZERO,0.201604703,
HSC,ENST00000231004,ENSG00000113083,protein_coding,LOX-001,lysyl oxidase [Source:HGNC Symbol;Acc:6664],0.665176036,2.48734,ZERO,0.207216721,
HSC,ENST00000394511,ENSG00000174607,protein_coding,UGT8-002,UDP glycosyltransferase 8 [Source:HGNC Symbol;Acc:12555],0.634017956,1.78762,ZERO,0.197603411,
HSC,ENST00000338523,ENSG00000086300,protein_coding,SNX10-002,sorting nexin 10 [Source:HGNC Symbol;Acc:14974],0.626224048,1.5004,ZERO,0.199966965,
HSC,ENST00000414397,ENSG00000226493,processed_pseudogene,RP11-524O24.2-001,,0.597532548,1.67365,ZERO,0.203185347,
HSC,ENST00000479056,ENSG00000136518,retained_intron,ACTL6A-015,actin-like 6A [Source:HGNC Symbol;Acc:24124],0.580043534,1.28686,ZERO,0.204424231,
HSC,ENST00000439451,ENSG00000235914,antisense,MACROD2-AS1-002,MACROD2 antisense RNA 1 [Source:HGNC Symbol;Acc:37193],0.580649856,2.1764,ZERO,0.206747323,
HSC,ENST00000583335,ENSG00000264967,misc_RNA,Metazoa_SRP.718-201,Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017],0.590258653,2.01868,ZERO,0.212337578,
HSC,ENST00000490934,ENSG00000163001,processed_transcript,CCDC104-006,coiled-coil domain containing 104 [Source:HGNC Symbol;Acc:30540],0.617631331,1.40229,ZERO,0.222697248,
HSC,ENST00000551855,ENSG00000139117,processed_transcript,CPNE8-008,copine VIII [Source:HGNC Symbol;Acc:23498],0.582588607,2.32917,ZERO,0.212216959,
HSC,ENST00000486625,ENSG00000242477,processed_pseudogene,CTD-2161E19.1-001,,0.573971993,2.43605,ZERO,0.210383902,
HSC,ENST00000375071,ENSG00000158825,protein_coding,CDA-001,cytidine deaminase [Source:HGNC Symbol;Acc:1712],0.56766383,2.52459,ZERO,0.209860148,
HSC,ENST00000596659,ENSG00000244513,antisense,CTD-2013N24.2-007,,0.507040707,1.62107,ZERO,0.187745918,
HSC,ENST00000514985,ENSG00000250722,protein_coding,SEPP1-001,"selenoprotein P, plasma, 1 [Source:HGNC Symbol;Acc:10751]",0.564460003,3.36337,ZERO,0.213864276,
HSC,ENST00000482745,ENSG00000196735,nonsense_mediated_decay,HLA-DQA1-002,"major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:4942]",0.569698349,4.00426,ZERO,0.220220085,
HSC,ENST00000374900,ENSG00000165591,protein_coding,FAAH2-001,fatty acid amide hydrolase 2 [Source:HGNC Symbol;Acc:26440],0.567726795,2.63154,ZERO,0.225620798,
HSC,ENST00000436493,ENSG00000185986,processed_transcript,SDHAP3-002,"succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 3 [Source:HGNC Symbol;Acc:18781]",0.508287805,1.65348,ZERO,0.203805274,
HSC,ENST00000367429,ENSG00000000971,protein_coding,CFH-001,complement factor H [Source:HGNC Symbol;Acc:4883],0.636358409,1.42376,ZERO,0.256416486,
HSC,ENST00000484268,ENSG00000179869,retained_intron,ABCA13-006,"ATP-binding cassette, sub-family A (ABC1), member 13 [Source:HGNC Symbol;Acc:14638]",0.543510609,2.65589,ZERO,0.223761302,
HSC,ENST00000515602,ENSG00000164116,processed_transcript,GUCY1A3-021,"guanylate cyclase 1, soluble, alpha 3 [Source:HGNC Symbol;Acc:4685]",0.549251943,1.87608,ZERO,0.229646779,
HSC,ENST00000551944,ENSG00000165805,protein_coding,C12orf50-001,chromosome 12 open reading frame 50 [Source:HGNC Symbol;Acc:26665],0.586874016,1.47277,ZERO,0.247713703,
HSC,ENST00000534294,ENSG00000160593,retained_intron,AMICA1-005,"adhesion molecule, interacts with CXADR antigen 1 [Source:HGNC Symbol;Acc:19084]",0.538157016,2.69742,ZERO,0.228000028,
HSC,ENST00000559960,ENSG00000259354,antisense,RP11-519G16.3-004,,0.547203032,1.74362,ZERO,0.239017219,
HSC,ENST00000508075,ENSG00000069869,processed_transcript,NEDD4-010,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:7727]",0.542153379,1.3986,ZERO,0.238076334,
HSC,ENST00000436561,ENSG00000231995,processed_pseudogene,RP11-111F5.2-001,,0.52841431,2.27252,ZERO,0.233527482,
HSC,ENST00000584924,ENSG00000141293,protein_coding,SKAP1-002,src kinase associated phosphoprotein 1 [Source:HGNC Symbol;Acc:15605],0.502192582,2.06675,ZERO,0.224123079,
HSC,ENST00000414020,ENSG00000236029,protein_coding,AL953854.2-003,Novel protein similar to contactin associated protein-like 3 (CNTNAP3)  [Source:UniProtKB/TrEMBL;Acc:Q4VWZ7],0.529419833,2.24131,ZERO,0.237346797,
HSC,ENST00000371460,ENSG00000196284,protein_coding,SUPT3H-005,suppressor of Ty 3 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11466],0.564373307,1.51931,ZERO,0.253696533,
HSC,ENST00000368416,ENSG00000188580,protein_coding,NKAIN2-001,Na+/K+ transporting ATPase interacting 2 [Source:HGNC Symbol;Acc:16443],0.525617362,2.71314,ZERO,0.238082342,
HSC,ENST00000448133,ENSG00000236608,processed_pseudogene,EIF4A1P6-001,eukaryotic translation initiation factor 4A1 pseudogene 6 [Source:HGNC Symbol;Acc:37925],0.525137223,1.7421,ZERO,0.243628053,
HSC,ENST00000515281,ENSG00000249489,processed_pseudogene,GAPDHP70-001,glyceraldehyde 3 phosphate dehydrogenase pseudogene 70 [Source:HGNC Symbol;Acc:4148],0.529723562,3.6215,ZERO,0.246204125,
HSC,ENST00000474071,ENSG00000157036,retained_intron,EXOG-010,"endo/exonuclease (5'-3'), endonuclease G-like [Source:HGNC Symbol;Acc:3347]",0.54682839,1.74932,ZERO,0.255466104,
HSC,ENST00000493028,ENSG00000240531,transcribed_processed_pseudogene,RPL21P123-001,ribosomal protein L21 pseudogene 123 [Source:HGNC Symbol;Acc:35691],0.508242757,1.84132,ZERO,0.238270438,
HSC,ENST00000396225,ENSG00000035720,protein_coding,STAP1-002,signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:24133],0.533591308,1.86387,ZERO,0.254437922,
HSC,ENST00000539028,ENSG00000110852,retained_intron,CLEC2B-002,"C-type lectin domain family 2, member B [Source:HGNC Symbol;Acc:2053]",0.567083413,1.96211,ZERO,0.271687635,
HSC,ENST00000553544,ENSG00000100883,retained_intron,SRP54-009,signal recognition particle 54kDa [Source:HGNC Symbol;Acc:11301],0.555468187,1.0802,ZERO,0.266660996,
HSC,ENST00000448824,ENSG00000234986,lincRNA,XX-C2158C12.1-001,,0.532163439,1.52508,ZERO,0.25840703,
HSC,ENST00000308302,ENSG00000174567,protein_coding,GOLT1A-001,golgi transport 1A [Source:HGNC Symbol;Acc:24766],0.525083905,3.72363,ZERO,0.258724154,
HSC,ENST00000538482,ENSG00000197992,retained_intron,CLEC9A-003,"C-type lectin domain family 9, member A [Source:HGNC Symbol;Acc:26705]",0.51551692,3.17338,ZERO,0.254832663,
HSC,ENST00000356215,ENSG00000197301,protein_coding,RP11-366L20.2-001,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:B7WPI5],0.529141744,2.32055,ZERO,0.262497145,
HSC,ENST00000496410,ENSG00000127993,protein_coding,RBM48-003,RNA binding motif protein 48 [Source:HGNC Symbol;Acc:21785],0.5273027,1.48702,ZERO,0.294588686,
HSC,ENST00000514179,ENSG00000158987,retained_intron,RAPGEF6-009,Rap guanine nucleotide exchange factor (GEF) 6 [Source:HGNC Symbol;Acc:20655],0.515478608,1.87845,ZERO,0.307691018,
HSC,ENST00000526353,ENSG00000133812,retained_intron,SBF2-004,SET binding factor 2 [Source:HGNC Symbol;Acc:2135],0.501498608,1.58766,ZERO,0.35389389,
MPP,ENST00000443590,ENSG00000214199,processed_pseudogene,EEF1A1P12-001,eukaryotic translation elongation factor 1 alpha 1 pseudogene 12 [Source:HGNC Symbol;Acc:3195],0.881441069,1.27534,ZERO,0.062472567,
MPP,ENST00000568495,ENSG00000102901,retained_intron,CENPT-031,centromere protein T [Source:HGNC Symbol;Acc:25787],0.885239059,1.72374,ZERO,0.066809865,
MPP,ENST00000552591,ENSG00000135486,protein_coding,HNRNPA1-009,heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:5031],0.735881431,1.34065,ZERO,0.148266042,
MPP,ENST00000533214,ENSG00000120451,protein_coding,SNX19-005,sorting nexin 19 [Source:HGNC Symbol;Acc:21532],0.713570302,3.76221,ZERO,0.148656996,
MPP,ENST00000379155,ENSG00000164978,protein_coding,NUDT2-003,nudix (nucleoside diphosphate linked moiety X)-type motif 2 [Source:HGNC Symbol;Acc:8049],0.707491968,1.853,ZERO,0.163149094,
MPP,ENST00000515818,ENSG00000145425,nonsense_mediated_decay,RPS3A-013,ribosomal protein S3A [Source:HGNC Symbol;Acc:10421],0.647006235,1.64734,MK,0.152997,
MPP,ENST00000339736,ENSG00000165678,protein_coding,GHITM-002,growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:17281],0.664652783,1.74857,ZERO,0.184991903,
MPP,ENST00000557627,ENSG00000129566,retained_intron,TEP1-009,telomerase-associated protein 1 [Source:HGNC Symbol;Acc:11726],0.636449238,1.8455,ZERO,0.182147737,
MPP,ENST00000366409,ENSG00000203602,pseudogene,AL137059.1-201,,0.650108895,1.62474,ZERO,0.21381029,
MPP,ENST00000450796,ENSG00000169599,protein_coding,NFU1-011,NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:16287],0.673082979,1.10115,ZERO,0.221458958,
MPP,ENST00000451821,ENSG00000170469,protein_coding,SPATA24-003,spermatogenesis associated 24 [Source:HGNC Symbol;Acc:27322],0.640171586,1.15993,ZERO,0.214847914,
MPP,ENST00000515792,ENSG00000145425,protein_coding,RPS3A-012,ribosomal protein S3A [Source:HGNC Symbol;Acc:10421],0.636317188,1.4667,ZERO,0.215448776,
MPP,ENST00000540232,ENSG00000166012,nonsense_mediated_decay,TAF1D-023,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa [Source:HGNC Symbol;Acc:28759]",0.628183146,1.6796,ZERO,0.218861034,
MPP,ENST00000567440,ENSG00000137817,nonsense_mediated_decay,PARP6-003,"poly (ADP-ribose) polymerase family, member 6 [Source:HGNC Symbol;Acc:26921]",0.598654166,2.52276,ZERO,0.213376401,
MPP,ENST00000537982,ENSG00000118600,processed_transcript,TMEM5-007,transmembrane protein 5 [Source:HGNC Symbol;Acc:13530],0.642065628,1.09839,ZERO,0.236943165,
MPP,ENST00000360916,ENSG00000163138,protein_coding,PACRGL-001,PARK2 co-regulated-like [Source:HGNC Symbol;Acc:28442],0.574001289,1.87605,ZERO,0.248128252,
MPP,ENST00000529887,ENSG00000168092,protein_coding,PAFAH1B2-006,"platelet-activating factor acetylhydrolase 1b, catalytic subunit 2 (30kDa) [Source:HGNC Symbol;Acc:8575]",0.533448689,2.89371,ZERO,0.244639513,
MPP,ENST00000494941,ENSG00000119943,processed_transcript,PYROXD2-004,pyridine nucleotide-disulphide oxidoreductase domain 2 [Source:HGNC Symbol;Acc:23517],0.572745303,1.52239,ZERO,0.264669734,
MPP,ENST00000380750,ENSG00000205572,protein_coding,SERF1B-001,small EDRK-rich factor 1B (centromeric) [Source:HGNC Symbol;Acc:10756],0.539502158,0.982137,ZERO,0.317758418,
CLP,ENST00000418386,ENSG00000226979,protein_coding,LTA-001,"lymphotoxin alpha (TNF superfamily, member 1) [Source:HGNC Symbol;Acc:6709]",0.99998891,14.1325,ZERO,5.64E-06,
CLP,ENST00000463625,ENSG00000147905,processed_transcript,ZCCHC7-006,"zinc finger, CCHC domain containing 7 [Source:HGNC Symbol;Acc:26209]",0.998821056,2.8549,ZERO,0.000557001,
CLP,ENST00000469207,ENSG00000171720,processed_transcript,HDAC3-013,histone deacetylase 3 [Source:HGNC Symbol;Acc:4854],0.993999814,1.3098,ZERO,0.004170053,
CLP,ENST00000528014,ENSG00000137731,protein_coding,FXYD2-004,FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:4026],0.990843822,5.79644,ZERO,0.004640303,
CLP,ENST00000371174,ENSG00000107447,protein_coding,DNTT-001,"deoxynucleotidyltransferase, terminal [Source:HGNC Symbol;Acc:2983]",0.97543481,5.81557,EB,0.006680825,
CLP,ENST00000525842,ENSG00000196323,protein_coding,ZBTB44-001,zinc finger and BTB domain containing 44 [Source:HGNC Symbol;Acc:25001],0.990710235,1.09314,ZERO,0.007256356,
CLP,ENST00000465988,ENSG00000102078,processed_transcript,SLC25A14-012,"solute carrier family 25 (mitochondrial carrier, brain), member 14 [Source:HGNC Symbol;Acc:10984]",0.987400917,1.55201,ZERO,0.008161974,
CLP,ENST00000576432,ENSG00000141556,retained_intron,TBCD-027,tubulin folding cofactor D [Source:HGNC Symbol;Acc:11581],0.985395555,1.2819,ZERO,0.009803882,
CLP,ENST00000553542,ENSG00000198668,protein_coding,CALM1-012,"calmodulin 1 (phosphorylase kinase, delta) [Source:HGNC Symbol;Acc:1442]",0.980686221,0.919453,ZERO,0.014552751,
CLP,ENST00000307017,ENSG00000170185,protein_coding,USP38-001,ubiquitin specific peptidase 38 [Source:HGNC Symbol;Acc:20067],0.967153164,1.34283,ZERO,0.019570472,
CLP,ENST00000413382,ENSG00000041357,protein_coding,PSMA4-004,"proteasome (prosome, macropain) subunit, alpha type, 4 [Source:HGNC Symbol;Acc:9533]",0.967073078,1.10618,ZERO,0.023984947,
CLP,ENST00000478852,ENSG00000107581,processed_transcript,EIF3A-003,"eukaryotic translation initiation factor 3, subunit A [Source:HGNC Symbol;Acc:3271]",0.959411133,1.42304,ZERO,0.0247813,
CLP,ENST00000396981,ENSG00000132388,protein_coding,UBE2G1-001,ubiquitin-conjugating enzyme E2G 1 [Source:HGNC Symbol;Acc:12482],0.965222563,0.946308,ZERO,0.025706707,
CLP,ENST00000507118,ENSG00000113658,protein_coding,SMAD5-002,SMAD family member 5 [Source:HGNC Symbol;Acc:6771],0.962006133,0.898132,ZERO,0.026733253,
CLP,ENST00000493227,ENSG00000164654,retained_intron,MIOS-003,"missing oocyte, meiosis regulator, homolog (Drosophila) [Source:HGNC Symbol;Acc:21905]",0.946862116,2.95406,ZERO,0.027564826,
CLP,ENST00000472247,ENSG00000134899,processed_transcript,ERCC5-005,"excision repair cross-complementing rodent repair deficiency, complementation group 5 [Source:HGNC Symbol;Acc:3437]",0.954849951,1.18835,ZERO,0.028515433,
CLP,ENST00000260287,ENSG00000137731,protein_coding,FXYD2-001,FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:4026],0.940233455,2.47051,ZERO,0.029310393,
CLP,ENST00000549982,ENSG00000198015,protein_coding,MRPL42-001,mitochondrial ribosomal protein L42 [Source:HGNC Symbol;Acc:14493],0.946809475,1.24062,ZERO,0.030572197,
CLP,ENST00000463659,ENSG00000211456,retained_intron,SACM1L-011,SAC1 suppressor of actin mutations 1-like (yeast) [Source:HGNC Symbol;Acc:17059],0.928136123,3.05645,ZERO,0.032420572,
CLP,ENST00000346833,ENSG00000108788,protein_coding,MLX-003,"MLX, MAX dimerization protein [Source:HGNC Symbol;Acc:11645]",0.952682411,1.26376,ZERO,0.03396675,
CLP,ENST00000248948,ENSG00000128218,protein_coding,VPREB3-001,pre-B lymphocyte 3 [Source:HGNC Symbol;Acc:12710],0.925077122,3.94519,ZERO,0.035444077,
CLP,ENST00000254801,ENSG00000132465,protein_coding,IGJ-001,"immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides [Source:HGNC Symbol;Acc:5713]",0.865651002,5.60818,ZERO,0.034102734,
CLP,ENST00000224337,ENSG00000095585,protein_coding,BLNK-001,B-cell linker [Source:HGNC Symbol;Acc:14211],0.913523769,4.05118,ZERO,0.040867833,
CLP,ENST00000426727,ENSG00000140367,protein_coding,UBE2Q2-004,ubiquitin-conjugating enzyme E2Q family member 2 [Source:HGNC Symbol;Acc:19248],0.937585044,0.844835,ZERO,0.043044029,
CLP,ENST00000316660,ENSG00000141682,protein_coding,PMAIP1-001,phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:9108],0.930283278,1.01956,ZERO,0.047458287,
CLP,ENST00000522957,ENSG00000023287,retained_intron,RB1CC1-010,RB1-inducible coiled-coil 1 [Source:HGNC Symbol;Acc:15574],0.918686645,1.56655,ZERO,0.05097549,
CLP,ENST00000522136,ENSG00000113240,nonsense_mediated_decay,CLK4-009,CDC-like kinase 4 [Source:HGNC Symbol;Acc:13659],0.915108621,0.981199,ZERO,0.06014862,
CLP,ENST00000435070,ENSG00000111605,protein_coding,CPSF6-001,"cleavage and polyadenylation specific factor 6, 68kDa [Source:HGNC Symbol;Acc:13871]",0.923661939,0.752478,ZERO,0.06344867,
CLP,ENST00000211921,ENSG00000204482,protein_coding,LST1-003,leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:14189],0.858674401,1.6635,ZERO,0.070459888,
CLP,ENST00000336755,ENSG00000147905,protein_coding,ZCCHC7-003,"zinc finger, CCHC domain containing 7 [Source:HGNC Symbol;Acc:26209]",0.875280705,1.02054,ZERO,0.073263946,
CLP,ENST00000554429,ENSG00000185246,nonsense_mediated_decay,PRPF39-006,PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20314],0.846329988,2.45224,ZERO,0.072469609,
CLP,ENST00000369567,ENSG00000134262,protein_coding,AP4B1-002,"adaptor-related protein complex 4, beta 1 subunit [Source:HGNC Symbol;Acc:572]",0.868249391,1.27464,ZERO,0.077665723,
CLP,ENST00000548336,ENSG00000235162,processed_transcript,C12orf75-007,chromosome 12 open reading frame 75 [Source:HGNC Symbol;Acc:35164],0.857833236,1.3144,ZERO,0.079916829,
CLP,ENST00000460393,ENSG00000196549,protein_coding,MME-001,membrane metallo-endopeptidase [Source:HGNC Symbol;Acc:7154],0.828860984,3.75662,ZERO,0.081026935,
CLP,ENST00000412104,ENSG00000028116,protein_coding,VRK2-201,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],0.860657982,1.48924,ZERO,0.084974723,
CLP,ENST00000482406,ENSG00000163297,processed_transcript,ANTXR2-007,anthrax toxin receptor 2 [Source:HGNC Symbol;Acc:21732],0.840043242,1.81161,ZERO,0.08679926,
CLP,ENST00000448423,ENSG00000233177,antisense,RP11-179H18.2-001,,0.849261319,1.02456,ZERO,0.088244913,
CLP,ENST00000265192,ENSG00000120727,protein_coding,PAIP2-001,poly(A) binding protein interacting protein 2 [Source:HGNC Symbol;Acc:17970],0.885966522,0.69813,ZERO,0.095946385,
CLP,ENST00000367658,ENSG00000112406,protein_coding,HECA-001,headcase homolog (Drosophila) [Source:HGNC Symbol;Acc:21041],0.842910744,1.45611,ZERO,0.093734601,
CLP,ENST00000262461,ENSG00000064651,protein_coding,SLC12A2-001,"solute carrier family 12 (sodium/potassium/chloride transporters), member 2 [Source:HGNC Symbol;Acc:10911]",0.872265664,1.00605,ZERO,0.097147108,
CLP,ENST00000488726,ENSG00000059378,retained_intron,PARP12-003,"poly (ADP-ribose) polymerase family, member 12 [Source:HGNC Symbol;Acc:21919]",0.836952363,1.6458,ZERO,0.094495479,
CLP,ENST00000495156,ENSG00000102078,processed_transcript,SLC25A14-005,"solute carrier family 25 (mitochondrial carrier, brain), member 14 [Source:HGNC Symbol;Acc:10984]",0.791321647,2.22782,GMP,0.089598595,
CLP,ENST00000221972,ENSG00000105369,protein_coding,CD79A-001,"CD79a molecule, immunoglobulin-associated alpha [Source:HGNC Symbol;Acc:1698]",0.807728479,2.72746,MK,0.091974736,
CLP,ENST00000390400,ENSG00000211753,TR_V_gene,TRBV28-001,T cell receptor beta variable 28 [Source:HGNC Symbol;Acc:12209],0.799735688,2.03658,ZERO,0.094888358,
CLP,ENST00000499247,ENSG00000141232,protein_coding,TOB1-001,"transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:11979]",0.820787364,1.02459,ZERO,0.09961994,
CLP,ENST00000428424,ENSG00000100796,protein_coding,SMEK1-202,"SMEK homolog 1, suppressor of mek1 (Dictyostelium) [Source:HGNC Symbol;Acc:20219]",0.857309848,1.13794,ZERO,0.106066769,
CLP,ENST00000488958,ENSG00000136147,protein_coding,PHF11-010,PHD finger protein 11 [Source:HGNC Symbol;Acc:17024],0.833354292,1.24083,ZERO,0.10313009,
CLP,ENST00000494798,ENSG00000153283,nonsense_mediated_decay,CD96-004,CD96 molecule [Source:HGNC Symbol;Acc:16892],0.733221382,4.5551,ZERO,0.092083595,
CLP,ENST00000341206,ENSG00000267206,protein_coding,LCN6-001,lipocalin 6 [Source:HGNC Symbol;Acc:17337],0.785920374,3.14019,ZERO,0.099585068,
